Structure;NOM1;NOM2;ADRESSE1;ADRESSE2;CP;VILLE;Longitude;Latitude;coordonnees_geoloc;coordonnees_ban;coordonnees_finales;Région
SMAC;Le Pannonica;NAJA Association Nantes Jazz Action;9 Rue Basse Porte;;44000;NANTES;;;;47.221054, -1.558417;47.221054, -1.558417;Pays de la Loire
SMAC;Le 6 par 4;association Poc Pok;177, rue du Vieux Saint-Louis;;53000;LAVAL;;;;48.07895, -0.771392;48.07895, -0.771392;Pays de la Loire
SMAC;Tandem;Association Tandem;19, rue Paul Lendrin BP 715;;83000;TOULON;;;;43.123154, 5.934153;43.123154, 5.934153;Provence-Alpes-Côte d'Azur
SMAC en cours de labellisation;La Boite à musique BAM / Les Trinitaires;EPCC Metz en Scènes;20 boulevard d'Alsace;;57000;METZ;;;;49.116896, 6.184895;49.116896, 6.184895;Grand Est
SMAC en cours de labellisation;SMAC le 109;;Rue Ernest Montusés;;3100;MONTLUCON;;;;46.323318, 2.61987;46.323318, 2.61987;Auvergne-Rhône-Alpes
Centre Dramatique National;NOUVEAU THEATRE DE BESANCON;CENTRE DRAMATIQUE NATIONAL DE FRANCHE-COMTE;Parc du Casino;;25000;BESANCON;5.97059;47.21801500000001;47.21801500000001,5.97059;47.218012, 5.971403;47.218015, 5.97059;Bourgogne-Franche-Comté
Centre Dramatique National;THEATRE DE GENNEVILLIERS;;41, avenue des Grésillons;;92230;GENNEVILLIERS;2.300153;48.914310000000015;48.914310000000015,2.300153;48.914234, 2.299722;48.91431, 2.300153;Île-de-France
Centre Dramatique National;CENTRE DRAMATIQUE NATIONAL DES ALPES;;4, rue Paul Claudel;B.P. 2448;38034;GRENOBLE CEDEX 2;5.732392000000001;45.17164;45.17164,5.732392000000001;;45.17164, 5.732392;Auvergne-Rhône-Alpes
Centre Dramatique National;THEATRE NATIONAL DE MARSEILLE;TNM La Criée;30, quai de Rive Neuve;;13284;MARSEILLE CEDEX 7;5.368406000000001;43.29278599999999;43.29278599999999,5.368406000000001;;43.292786, 5.368406;Provence-Alpes-Côte d'Azur
Centre Dramatique National;THEATRE DE NANTERRE-AMANDIERS;;7, avenue Pablo Picasso;;92022;NANTERRE Cedex;2.214392;48.892013;48.892013,2.214392;;48.892013, 2.214392;Île-de-France
Centre Dramatique National;THEATRE NATIONAL DE NICE;;Promenade des Arts;;6300;NICE;7.275861;43.70619500000002;43.70619500000002,7.275861;;43.706195, 7.275861;Provence-Alpes-Côte d'Azur
Centre Dramatique National;THEATRE GERARD PHILIPE;;59, boulevard Jules Guesde;;93207;SAINT-DENIS Cedex 1;2.36645;48.932616999999986;48.932616999999986,2.36645;;48.932617, 2.36645;Île-de-France
Centre Dramatique National;THEATRE DE SARTROUVILLE;;Place Jacques Brel;B.P. 93;78505;SARTROUVILLE CEDEX;2.19415;48.940145;48.940145,2.19415;;48.940145, 2.19415;Île-de-France
Centre Dramatique National;CENTRE DRAMATIQUE DE THIONVILLE-LORRAINE;;rue Pasteur;;57103;THIONVILLE CEDEX;6.163636;49.361425;49.361425,6.163636;;49.361425, 6.163636;Grand Est
Centre Dramatique National;LA COMEDIE DE VALENCE;Centre dramatique national Drôme-Ardèche;Place Charles-Huguenel;;26000;VALENCE;4.892212;44.934492999999996;44.934492999999996,4.892212;44.934549, 4.892308;44.934493, 4.892212;Auvergne-Rhône-Alpes
Scène Nationale;L’Athanor - Scène nationale;;Place de l’Amitié entre les Peuples;BP 49;81000;ALBI;2.16053;43.933453000000014;43.933453000000014,2.16053;43.923796, 2.144604;43.933453, 2.16053;Occitanie
Scène Nationale;Le Cratère - Théâtre d’Alès en Cévennes;;Square Pablo Néruda, Place Barbusse;;30100;ALES EN CEVENNES;4.081487;44.125138;44.125138,4.081487;;44.125138, 4.081487;Occitanie
