Structure;NOM1;NOM2;ADRESSE1;ADRESSE2;CP;VILLE;Longitude;Latitude;coordonnees_geoloc;coordonnees_ban;coordonnees_finales;Région
Centre Dramatique National;LA COMEDIE DE BETHUNE;CENTRE DRAMATIQUE NATIONAL  NORD-PAS-DE-CALAIS;Place Foch;B.P. 631;62412;BETHUNE Cedex;2.6333500000000005;50.530708999999995;50.530708999999995,2.6333500000000005;;50.530709, 2.63335;Hauts-de-France
Centre Dramatique National;CENTRE DRAMATIQUE NATIONAL;;26, place Jean Jaurès;;93100;MONTREUIL CEDEX;2.441887;48.86259200000001;48.86259200000001,2.441887;48.862076, 2.442802;48.862592, 2.441887;Île-de-France
Centre Dramatique National;THEATRE NATIONAL DE BRETAGNE;;1, rue Saint-Hélier;B.P. 675;35008;RENNES Cedex;-1.6728340000000002;48.107675999999984;48.107675999999984,-1.6728340000000002;;48.107676, -1.672834;Bretagne
Centre Dramatique National;THEATRE NATIONAL DE TOULOUSE MIDI-PYRENEES;;1, rue Pierre Baudis;B.P. 50919;31009;TOULOUSE Cedex 06;1.449791;43.603784;43.603784,1.449791;;43.603784, 1.449791;Occitanie
Centre chorégraphique national;Centre chorégraphique national de Franche-Comté à Belfort;;3, avenue de l'Espérance;;90000;Belfort;6.862670999999999;47.64154;47.64154,6.862670999999999;47.641339, 6.862661;47.64154, 6.862671;Bourgogne-Franche-Comté
Centre chorégraphique national;Centre chorégraphique national de Caen et de Basse-Normandie;;11 rue du Carel;BP 75411;14054;Caen cedex 4;-0.371104;49.17986799999999;49.17986799999999,-0.371104;;49.179868, -0.371104;Normandie
Centre chorégraphique national;Centre chorégraphique national de Nantes Claude Brumachon Benjamin Lamarche;;23, rue Noire;;44000;Nantes;-1.562287;47.226438;47.226438,-1.562287;47.226345, -1.562376;47.226438, -1.562287;Pays de la Loire
Centre chorégraphique national;Centre chorégraphique national de Rillieux-la-Pape;;30 ter, avenue du Général Leclerc;BP 106;69143;Rillieux-la-Pape;4.865976999999999;45.805573;45.805573,4.865976999999999;;45.805573, 4.865977;Auvergne-Rhône-Alpes
Centre chorégraphique national;Centre chorégraphique national de Roubaix Nord-Pas-de-Calais;;33, rue de l'Épeule;;59100;Roubaix;3.162677;50.691121;50.691121,3.162677;50.691102, 3.162746;50.691121, 3.162677;Hauts-de-France
Orchestre Permanent;Orchestre national de Bordeaux-Aquitaine;;Place de la Comédie;BP 95;33025;Bordeaux Cedex;-0.574308;44.84234200000002;44.84234200000002,-0.574308;;44.842342, -0.574308;Nouvelle-Aquitaine
Orchestre Permanent;Orchestre de Paris;;252, rue du Faubourg Saint Honoré;Salle PLEYEL;75008;PARIS;2.320066;48.84717500000001;48.84717500000001,2.320066;48.876956, 2.300995;48.847175, 2.320066;Île-de-France
Orchestre Permanent;Orchestre national de Lyon;;82, rue de Bonnel;;69003;Lyon;4.851918;45.762103000000025;45.762103000000025,4.851918;45.762063, 4.852408;45.762103, 4.851918;Auvergne-Rhône-Alpes
Centre de développement chorégraphique;Le Cuvier / CDC d'Aquitaine Artigues-près-Bordeaux;;;;33370;ARTIGUES-PRES-BORDEAUX;;;;44.858314, -0.497405;44.858314, -0.497405;Nouvelle-Aquitaine
Centre de développement chorégraphique;Les Hivernales - la manutention;;;;84000;AVIGNON;;;;43.947855, 4.807592;43.947855, 4.807592;Provence-Alpes-Côte d'Azur
Centre de développement chorégraphique;Uzès danse, Festival et Centre de développement chorégraphique de l'Uzège, du Gard et du Languedoc-Roussillon;;;;30700;UZES;;;;44.012097, 4.419221;44.012097, 4.419221;Occitanie
SMAC;La Cartonnerie;REMCA;84, rue du Docteur Lemoine;;51100;REIMS;;;;49.268191, 4.03583;49.268191, 4.03583;Grand Est
SMAC;Le Gueulard +;;3 rue Victor Hugo;;57240;NILVANGE;;;;49.341575, 6.050484;49.341575, 6.050484;Grand Est
SMAC;SMAC départementale : Rocksane (Bergerac), Le Sans Réserve et IMR (Périgueux);Rocksane Overlook / Sans Réserve/ Institut des musiques rock;;;;BERGERAC | PERIGUEUX |PERIGUEUX;;;;45.177359, 0.725478;45.177359, 0.725478;Nouvelle-Aquitaine
SMAC;SMAC d'agglomération Bordelaise : Krakatoa;Transrock;3, avenue Victor Hugo;C/o Transrock;33700;MERIGNAC;;;;44.823628, -0.62452;44.823628, -0.62452;Nouvelle-Aquitaine
SMAC;SMAC d'agglomération Bordelaise : Aréma rock et chanson;;181, rue François Boucher;;33400;TALENCE;;;;44.792841, -0.586843;44.792841, -0.586843;Nouvelle-Aquitaine
SMAC;CAMJI;Association le Camji;3 rue de l'Ancien Musée;Espace Michelet,;79000;NIORT;;;;46.323205, -0.46373;46.323205, -0.46373;Nouvelle-Aquitaine
SMAC;La Coopérative de Mai;Association Pop'art;Rue Serge Gainsbourg;;63100;CLERMONT-FERRAND;;;;45.788615, 3.099623;45.788615, 3.099623;Auvergne-Rhône-Alpes
SMAC;Le Fil;Association Ligérienne de musiques actuelles;20 rue St Joseph;;42000;SAINT-ETIENNE;;;;45.442255, 4.375612;45.442255, 4.375612;Auvergne-Rhône-Alpes
SMAC;Les Abattoirs;;Route de lIsle d'Abeau;;38300;BOURGOIN-JALLIEU;;;;45.602731, 5.263921;45.602731, 5.263921;Auvergne-Rhône-Alpes
SMAC;La Cordonnerie;;3, quai Sainte Claire;Cité de la musique,;26100;ROMANS;;;;45.043393, 5.044746;45.043393, 5.044746;Auvergne-Rhône-Alpes
SMAC;SMAC Aire Urbaine Montbéliard Belfort : Le Moloco et La Poudrière;;21, rue de Seloncourt;co/Le Moloco;25400;AUDINCOURT;;;;47.47866, 6.842865;47.47866, 6.842865;Bourgogne-Franche-Comté
SMAC;Le Manège / MAPL (projet SMAC de département);Musique aujourd'hui en Pays de Lorient;2, rue Jean Le Coutaller;;56100;LORIENT;;;;47.746312, -3.367466;47.746312, -3.367466;Bretagne
SMAC;File 7;File 7 – Café musique du Val d'Europe;4, rue des Labours;;77700;MAGNY-LE-HONGRE;;;;48.86399, 2.813127;48.86399, 2.813127;Île-de-France
SMAC;Le Triton;;11 bis, rue du Coq Français;;93260;LES LILAS;;;;48.878456, 2.414876;48.878456, 2.414876;Île-de-France
SMAC;Le Rio Grande;Le Rio;3, rue Ferdinand Buisson;;82000;MONTAUBAN;;;;44.014764, 1.344937;44.014764, 1.344937;Occitanie
SMAC;Le Chabada;Adrama-Chabada;56 Boulevard du Doyenné;;49100;ANGERS;;;;47.488388, -0.536159;47.488388, -0.536159;Pays de la Loire
SMAC;Stéreolux;Association Songo;4, boulevard Léon Bureau;;44200;NANTES;;;;47.206011, -1.563948;47.206011, -1.563948;Pays de la Loire
SMAC;La Manutention;Association pour le Jazz et les musiques improvisées AJMI;4 rue esc.Saint-Anne;La Manutention;84000;AVIGNON;;;;43.951249, 4.808538;43.951249, 4.808538;Provence-Alpes-Côte d'Azur
SMAC en cours de labellisation;La Belle Electrique;Association MixLab;12 esplanade Andry-Farcy;;38000;GRENOBLE;;;;45.187197, 5.70455;45.187197, 5.70455;Auvergne-Rhône-Alpes
SMAC en cours de labellisation;Echo System;Au coin de l’oreille;;Z.A l’Ecu;70360;SCEY SUR SAONE;;;;47.654724, 6.003422;47.654724, 6.003422;Bourgogne-Franche-Comté
SMAC en cours de labellisation;Le Bikini;Patricia Sansonneto entrepreneur de spectacle;rue Théodore Monod;Parc technologique du canal,;31520;RAMONVILLE-SAINT-AGNE;;;;43.542625, 1.456742;43.542625, 1.456742;Occitanie
SMAC en cours de labellisation;Espace Julien SMAC d'agglomération marseillaise;association Teknicité;39, cours Julien;;13006;MARSEILLE;;;;43.294366, 5.383364;43.294366, 5.383364;Provence-Alpes-Côte d'Azur
FRAC;Fonds régional d'art contemporain ALSACE;Agence culturelle d'Alsace;1, espace Gilbert Estève BP 25;;67600;SELESTAT;;;;48.255557, 7.457459;48.255557, 7.457459;Grand Est
FRAC;Fonds régional d'art contemporain ILE-DE-France;;33, rue des Alouettes;;75019;PARIS;;;;48.878195, 2.385454;48.878195, 2.385454;Île-de-France
FRAC;Fonds régional d'art contemporain MIDI-PYRENEES;LES ABATTOIRS;76, allée Charles de Fitte;;31300;TOULOUSE;;;;43.600678, 1.428998;43.600678, 1.428998;Occitanie
Centres nationaux de création musicale;Groupe de musique expérimentale de Marseille (GMEM);;15, rue de Cassis;;13008;Marseille;5.389298999999999;43.279554999999995;43.279554999999995,5.389298999999999;43.27968, 5.389358;43.279555, 5.389299;Provence-Alpes-Côte d'Azur
Centre national des arts de la rue;Le Citron jaune;;30 avenur Max Dormoy;;13230;PORT-SAINT-LOUIS-DU-RHONE;4.812356;43.391278000000014;43.391278000000014,4.812356;43.391538, 4.812977;43.391278, 4.812356;Provence-Alpes-Côte d'Azur
Scène Nationale;Théâtre d'Angoulême - Scène nationale;;Avenue des Maréchaux;BP 287;16000;ANGOULEME Cedex;0.155055;45.64771700000001;45.64771700000001,0.155055;45.647533, 0.154404;45.647717, 0.155055;Nouvelle-Aquitaine
Scène Nationale;Action Culturelle du Barrois  - Scène nationale;;7, rue Jeanne d’Arc;;55000;BAR LE DUC;5.161136;48.77680399999999;48.77680399999999,5.161136;48.776736, 5.161345;48.776804, 5.161136;Grand Est
Scène Nationale;Espace des Arts - Scène nationale;;5 bis, avenue Nicéphore;;71100;Chalon-sur-Saône;4.850058;46.778951;46.778951,4.850058;46.779485, 4.849123;46.778951, 4.850058;Bourgogne-Franche-Comté
Scène Nationale;La Coursive - Scène nationale;;4, rue Saint-Jean-du-Pérot;;17000;LA ROCHELLE Cedex 01;-1.17311;46.159895;46.159895,-1.17311;46.156657, -1.154697;46.159895, -1.17311;Nouvelle-Aquitaine
Scène Nationale;Le Volcan - Scène nationale;;Espace Oscar Niemeyer;BP 1106;76000;LE HAVRE Cedex;0.125713;49.51026600000002;49.51026600000002,0.125713;;49.510266, 0.125713;Normandie
Scène Nationale;Le Théâtre - Scène Nationale;;1511, avenue Charles de Gaulle;;71000;MACON;4.8365;46.315320999999976;46.315320999999976,4.8365;46.316086, 4.836865;46.315321, 4.8365;Bourgogne-Franche-Comté
Scène Nationale;Théâtre 71 - Scène nationale;;3, place du 11 Novembre;;92240;MALAKOFF;2.302274;48.821289;48.821289,2.302274;48.821161, 2.30155;48.821289, 2.302274;Île-de-France
Scène Nationale;Théâtre des Salins - Scène nationale;;19, quai Paul Doumer;BP 75;13692;MARTIGUES Cedex;5.051029;43.406800999999994;43.406800999999994,5.051029;;43.406801, 5.051029;Provence-Alpes-Côte d'Azur
Scène Nationale;Le Manège - Scène nationale;;Rue de la Croix;B P 105;59602;MAUBEUGE Cedex;3.9763339999999996;50.276754999999994;50.276754999999994,3.9763339999999996;;50.276755, 3.976334;Hauts-de-France
Scène Nationale;L’Hexagone  - Scène Nationale;;24, rue des Aiguinards;;38240;MEYLAN;5.764283;45.205983;45.205983,5.764283;45.206601, 5.763817;45.205983, 5.764283;Auvergne-Rhône-Alpes
Scène Nationale;La Filature - Scène nationale;;20, allée Nathan Katz;;68090;MULHOUSE Cedex;7.351713000000001;47.75726;47.75726,7.351713000000001;;47.75726, 7.351713;Grand Est
Scène Nationale;Le Théâtre - Scène Nationale;;2, avenue Domitius;;11100;NARBONNE;2.998854;43.20257;43.20257,2.998854;43.180232, 3.014167;43.20257, 2.998854;Occitanie
Scène Nationale;Théâtre de Cornouaille - Scène nationale de Quimper;;1, esplanade François Mitterrand;;29000;QUIMPER Cedex;-4.085539;47.963675999999985;47.963675999999985,-4.085539;47.995959, -4.109662;47.963676, -4.085539;Bretagne
Scène Nationale;La Passerelle - Scène nationale de Saint-Brieuc;;Place de la Résistance;BP 4133;22000;SAINT-BRIEUC Cedex 2;-2.76169;48.513749000000004;48.513749000000004,-2.76169;48.513807, -2.761383;48.513749, -2.76169;Bretagne
Scène Nationale;Les Gémeaux - Scène nationale;;49, avenue Georges Clemenceau;;92330;SCEAUX;2.306596;48.78380600000002;48.78380600000002,2.306596;48.7839, 2.306475;48.783806, 2.306596;Île-de-France
SMAC;L'Autre Canal;;45 boulevard d'Austrasie;;54000;NANCY;;;;48.692926, 6.19955;48.692926, 6.19955;Grand Est
SMAC;SMAC d'agglomération Bordelaise : Théatre Barbey;Parallèles Attitudes Diffusion;18, cours Barbey;;33800;BORDEAUX;;;;44.827168, -0.56335;44.827168, -0.56335;Nouvelle-Aquitaine
SMAC;L'Ampli;Ampli Association;Allée Montesquieu;;64140;BILIERE;;;;43.302274, -0.39902;43.302274, -0.39902;Nouvelle-Aquitaine
SMAC;"SMAC départementale Landes :
Café Music

LMA";AMAC / LMA;;;;Mont de Marsan |Saint Vincent de Tyrosse;;;;43.655576, -1.301236;43.655576, -1.301236;Nouvelle-Aquitaine
SMAC;La Tannerie;La truffe et les oreilles;123, place de la Vinaigrerie;C/o association la Truffe et les Oreilles,;1000;BOURG-EN-BRESSE;;;;46.199298, 5.225348;46.199298, 5.225348;Auvergne-Rhône-Alpes
SMAC;La Luciole;Association Eurêka;171, rue de Bretagne;;61000;ALENCON;;;;48.432758, 0.069102;48.432758, 0.069102;Normandie
SMAC;Le 106;106 REM;Quai Jean de Béthencourt;;76100;ROUEN;;;;49.434994, 1.09277;49.434994, 1.09277;Normandie
SMAC;La Rodia;;Avenue de Chardonnet;;25000;BESANCON;;;;47.232913, 6.038004;47.232913, 6.038004;Bourgogne-Franche-Comté
SMAC;La Citrouille;La Citrouille;Place Nina Simone;;22000;SAINT BRIEUC;;;;48.518597, -2.760913;48.518597, -2.760913;Bretagne
SMAC;Run Ar Puns;Association Rapass;Route de Pleyben;;29150;CHATEAULIN;;;;48.20692, -4.070646;48.20692, -4.070646;Bretagne
SMAC;Le Jardin Moderne (projet SMAC d’agglomération rennaise);association Le Jardin Moderne;11, rue du Manoir de Servigné;;35000;RENNES;;;;48.102259, -1.725756;48.102259, -1.725756;Bretagne
SMAC;L'Astrolabe;Association Antirouille;1, rue Alexandre Avisse;C/O association l' Antirouille;45000;ORLEANS;;;;47.903267, 1.892976;47.903267, 1.892976;Centre-Val de Loire
SMAC;Le Petit Faucheux;Le Petit Faucheux;12, rue Léonard de Vinci;;37000;TOURS;;;;47.390928, 0.683029;47.390928, 0.683029;Centre-Val de Loire
SMAC;Temps Machine;Travaux Publics;45-49 rue des Martyrs;Parvis Miles Davis;37300;JOUE-LES-TOURS;;;;47.351975, 0.665148;47.351975, 0.665148;Centre-Val de Loire
SMAC;Espace Michel Berger (EMB);ADAME Association pour le développement et l'aide aux musiques électroniques;2, rue Georges Pompidou;;95110;SANNOIS;;;;48.973023, 2.262891;48.973023, 2.262891;Île-de-France
SMAC;L'Usine à chapeau;Maison des jeunes et de la culture de Rambouillet, Centre social l'Usine à Chapeaux;C/O MJC 32, rue Gambetta;;78120;RAMBOUILLET;;;;48.646114, 1.826622;48.646114, 1.826622;Île-de-France
SMAC;L 'Aéronef;Les Spectacles sans gravités;Avenue Willy Brandt, 168;Centre Commercial;59777;LILLE;;;;50.636617, 3.074141;50.636617, 3.074141;Hauts-de-France
SMAC;L'Ouvre- Boîte;ASCA Association culturelle Argentine;8, avenue de Bourgogne;BP 802;60000;BEAUVAIS;;;;49.437982, 2.099627;49.437982, 2.099627;Hauts-de-France
SMAC;Les Passagers du Zinc;association Des Deux Mains;23 route de Montfavet;;84000;AVIGNON;;;;43.942012, 4.823053;43.942012, 4.823053;Provence-Alpes-Côte d'Azur
SMAC en cours de labellisation;"SMAC S2M (Scènes de Musiques Métropolitaines) :
 L’Epicerie Moderne / Le Periscope /
Le Marché Gare / Bizarre !";"Association Musiques Acutelles à Feyzin /
association Rassemblement d’Energies pour la Sauvegarde d’un Espace Artistique Utopique / association MJC Presqu’ile Confluence / Association Bizarre !";;;;FEYZIN | LYON |LYON |VENISSIEUX;;;;45.676426, 4.860811;45.676426, 4.860811;Auvergne-Rhône-Alpes
FRAC;Fonds régional d'art contemporain AUVERGNE;;1, rue Barbançon;;63000;CLERMONT-FERRAND;;;;45.778372, 3.086687;45.778372, 3.086687;Auvergne-Rhône-Alpes
FRAC;Fonds régional d'art contemporain CENTRE;;12, rue de la Tour-Neuve;;45000;ORLÉANS;;;;47.899084, 1.913643;47.899084, 1.913643;Centre-Val de Loire
FRAC;Fonds régional d'art contemporain CHAMPAGNE-ARDENNE;;Le Collège - 1, place Museux;;51100;REIMS;;;;49.246527, 4.040071;49.246527, 4.040071;Grand Est
FRAC;Fonds régional d'art contemporain HAUTE-NORMANDIE;TRAFIC;3, place des Martyrs de la Résistance;;76300;SOTTEVILLE-LES-ROUEN;;;;49.419716, 1.078267;49.419716, 1.078267;Normandie
FRAC;Fonds régional d'art contemporain LIMOUSIN;;"""Les Coopérateurs"" - Impasse des Charentes";;87100;LIMOGES;;;;45.858524, 1.255511;45.858524, 1.255511;Nouvelle-Aquitaine
FRAC;Fonds régional d'art contemporain PAYS-DE-LA-LOIRE;;La Fleuriaye;;44470;CARQUEFOU;;;;47.301234, -1.504373;47.301234, -1.504373;Pays de la Loire
FRAC;Fonds régional d'art contemporain PROVENCE-ALPES-CÔTE D'AZUR;;1, place Francis-Chirat;;13002;MARSEILLE;;;;43.300923, 5.367292;43.300923, 5.367292;Provence-Alpes-Côte d'Azur
Centre Dramatique National;THEATRE DE DIJON-BOURGOGNE;;Théâtre du Parvis Saint-Jean;B.P. 72936;21029;DIJON CEDEX;5.040892;47.34091400000002;47.34091400000002,5.040892;;47.340914, 5.040892;Bourgogne-Franche-Comté
Centre Dramatique National;THEATRE DU NORD;;4, place du Général de Gaulle;B.P. 302;59026;LILLE CEDEX;3.0632759999999997;50.63747000000001;50.63747000000001,3.0632759999999997;;50.63747, 3.063276;Hauts-de-France
Centre Dramatique National;THEATRE DE L’UNION;CENTRE DRAMATIQUE NATIONAL DU LIMOUSIN;20, rue des Coopérateurs;B.P. 206;87006;LIMOGES CEDEX;1.254636;45.836451000000004;45.836451000000004,1.254636;;45.836451, 1.254636;Nouvelle-Aquitaine
Centre Dramatique National;THEATRE DE LA MANUFACTURE;CENTRE DRAMATIQUE NATIONAL DE NANCY LORRAINE;10, rue Baron-Louis;B.P. 3349;54014;NANCY CEDEX;6.171049000000001;48.69574000000001;48.69574000000001,6.171049000000001;;48.69574, 6.171049;Grand Est
Centre Dramatique National;CENTRE DRAMATIQUE NATIONAL D’ORLEANS;;Carré Saint-Vincent;;45000;ORLEANS;1.916929;47.91864699999999;47.91864699999999,1.916929;47.904183, 1.91292;47.918647, 1.916929;Centre-Val de Loire
Centre Dramatique National;LES TRETEAUX DE FRANCE;;11, rue Yvon Villarceau;;75116;PARIS;2.287224;48.86865;48.86865,2.287224;48.864272, 2.271028;48.86865, 2.287224;Île-de-France
Centre Dramatique National;THEATRE JEUNE PUBLIC;;1, rue du Pont Saint-Martin;;67000;STRASBOURG;7.7434389999999995;48.580174;48.580174,7.7434389999999995;48.580238, 7.743456;48.580174, 7.743439;Grand Est
Centre Dramatique Régional;ATELIER DU RHIN - CENTRE DRAMATIQUE REGIONAL D’ALSACE;;6, route d’Ingersheim;B.P. 593;68008;COLMAR CEDEX;7.352648;48.081984;48.081984,7.352648;;48.081984, 7.352648;Grand Est
Centre Dramatique Régional;CENTRE DRAMATIQUE REGIONAL DE POITOU-CHARENTES;;66, boulevard Pont Achard;B.P. 504;86012;POITIERS CEDEX;0.32909399999999994;46.57503900000002;46.57503900000002,0.32909399999999994;;46.575039, 0.329094;Nouvelle-Aquitaine
Centre Dramatique Régional;CENTRE DRAMATIQUE REGIONAL DE TOURS;Nouvel Olympia;7, rue de Lucé;;37000;TOURS;0.688842;47.39349500000002;47.39349500000002,0.688842;47.393664, 0.688597;47.393495, 0.688842;Centre-Val de Loire
Orchestre Permanent;Orchestre de Bretagne;;42 A, rue Saint Mélaine;B.P 30 823;35108;RENNES cedex 3;-1.675051;48.11478900000001;48.11478900000001,-1.675051;;48.114789, -1.675051;Bretagne
Orchestre Permanent;Ensemble Intercontemporain;;223, avenue Jean Jaurès;;75019;PARIS;2.394225;48.88929100000001;48.88929100000001,2.394225;48.889292, 2.393954;48.889291, 2.394225;Île-de-France
Orchestre Permanent;Orchestre de Picardie;;45, rue Pointin;;80040;Amiens cedex 01;2.311338;49.885532000000005;49.885532000000005,2.311338;;49.885532, 2.311338;Hauts-de-France
Orchestre Permanent;Orchestre de Poitou-Charentes;;9 rue du Général Berton;BP 422;86011;Poitiers Cedex;0.34268;46.58498800000001;46.58498800000001,0.34268;;46.584988, 0.34268;Nouvelle-Aquitaine
Centre d’art;PARC SAINT LEGER;CENTRE D'ART CONTEMPORAIN;Avenue Conti;;58320;POUGUES-LES-EAUX;;;;47.078946, 3.099219;47.078946, 3.099219;Bourgogne-Franche-Comté
Centre d’art;LE CONSORTIUM;CENTRE D'ART CONTEMPORAIN;37, rue de Longvic;;21000;DIJON;;;;47.313218, 5.045699;47.313218, 5.045699;Bourgogne-Franche-Comté
Centre d’art;CENTRE DE RECHERCHE ET DE DIFFUSION DE;L'ART CONTEMPORAIN - CREDAC;;Galerie Fernand Léger;94200;IVRY-SUR-SEINE;;;;48.813298, 2.387205;48.813298, 2.387205;Île-de-France
Centre d’art;CENTRE D'ART CONTEMPORAIN;Le LAIT;35, rue Chambre de l'Edit;;81100;CASTRES;;;;43.604466, 2.238475;43.604466, 2.238475;Occitanie
Centre d’art;ESPACE CROISÉ;;Grand Place;;59100;ROUBAIX;;;;50.691297, 3.173994;50.691297, 3.173994;Hauts-de-France
Centre chorégraphique national;Centre chorégraphique national de Grenoble;;4, rue Paul Claudel;BP 2448;38034;Grenoble cedex 2;5.732392;45.17164;45.17164,5.732392;;45.17164, 5.732392;Auvergne-Rhône-Alpes
Centre chorégraphique national;Centre chorégraphique national du Havre Haute-Normandie;;30, rue des Briquetiers;;76600;Le Havre;0.13529699999999997;49.492759;49.492759,0.13529699999999997;49.492636, 0.134967;49.492759, 0.135297;Normandie
Centres nationaux de création musicale;GRAME;;9 Rue du Garet;BP 1185;69202;Lyon Cedex 01;4.836826;45.766746;45.766746,4.836826;;45.766746, 4.836826;Auvergne-Rhône-Alpes
Centres nationaux de création musicale;La Muse en Circuit;;18, rue Marcelin Berthelot;;94140;Alfortville;2.412615;48.813405;48.813405,2.412615;48.813297, 2.412578;48.813405, 2.412615;Île-de-France
Centre national des arts de la rue;L'Abattoir;;52, quai Saint Cosme;;71100;CHALON-SUR-SAONE;4.846402000000001;46.77560799999999;46.77560799999999,4.846402000000001;46.775136, 4.84575;46.775608, 4.846402;Bourgogne-Franche-Comté
Centre national des arts de la rue;Pronomades;;rue de la Fontaine;;31160;ENCAUSSE LES THERMES;0.740651;43.049064999999985;43.049064999999985,0.740651;43.049882, 0.742395;43.049065, 0.740651;Occitanie
Centre de développement chorégraphique;Art Danse Bourgogne;;;;21000;DIJON;;;;47.322982, 5.041742;47.322982, 5.041742;Bourgogne-Franche-Comté
Centre de développement chorégraphique;Danse à Lille;;;;59170;ROUBAIX;;;;50.688421, 3.150329;50.688421, 3.150329;Hauts-de-France
Centre de développement chorégraphique;Centre de développement chorégraphique Toulouse / midi-Pyrénées;;;;31300;TOULOUSE;;;;43.604268, 1.441019;43.604268, 1.441019;Occitanie
Pôle cirque;La Verrerie d'Alès;;Chemin de St Raby;BP 20263;30100;ALES;;;;44.12818, 4.065853;44.12818, 4.065853;Occitanie
Pôle cirque;Le Cirque-Théâtre d’Elbeuf;;2 Rue Augustin Henry;BP 80356;76500;ELBEUF;;;;49.290545, 1.010811;49.290545, 1.010811;Normandie
Pôle cirque;Le Carré Magique;;Parvis des Droits de l'Homme;;22300;LANNION;;;;;;
